target,rank,feature
e_electronic,1,MagpieData_mode_MeltingT
e_electronic,2,Max_EN_Diff
e_electronic,3,MagpieData_maximum_Electronegativity
e_electronic,4,MagpieData_avg_dev_Electronegativity
e_electronic,5,OFM__p_4___d_10
e_electronic,6,transition_metal_fraction
e_electronic,7,MagpieData_mean_NUnfilled
e_electronic,8,Effective_Density
e_electronic,9,frac_d_valence_electrons
e_electronic,10,MagpieData_mean_Number
e_electronic,11,MagpieData_minimum_MeltingT
e_electronic,12,OFM__s_2___d_10
e_electronic,13,MagpieData_mean_Row
e_electronic,14,MagpieData_mode_Electronegativity
e_electronic,15,frac_p_valence_electrons
e_electronic,16,MagpieData_mean_Electronegativity
e_electronic,17,OFM__d_10___d_10
e_electronic,18,OFM__p_5___p_5
e_electronic,19,IBS
e_electronic,20,OFM__p_2___d_10
e_electronic,21,min_relative_bond_length
e_electronic,22,OFM__s_2___s_2
e_electronic,23,mean_absolute_deviation_in_relative_bond_length
e_electronic,24,MagpieData_mean_MeltingT
e_electronic,25,CrystalNNF_24
e_electronic,26,MagpieData_mean_CovalentRadius
e_electronic,27,MagpieData_mean_NdValence
e_electronic,28,CrystalNNF_22
e_electronic,29,MagpieData_mode_GSbandgap
e_electronic,30,MagpieData_minimum_NValence
e_electronic,31,OFM__p_2___p_2
e_electronic,32,MagpieData_maximum_MendeleevNumber
e_electronic,33,OFM__p_4___p_4
e_electronic,34,OFM__s_2___p_6
e_electronic,35,MagpieData_maximum_GSbandgap
e_electronic,36,OFM__s_2___p_5
e_electronic,37,2_norm
e_electronic,38,OFM__p_4___p_6
e_electronic,39,MagpieData_mode_GSvolume_pa
e_electronic,40,MagpieData_avg_dev_NpValence
e_electronic,41,OFM__s_2___p_4
e_electronic,42,CrystalNNF_2
e_electronic,43,CrystalNNF_25
e_electronic,44,MagpieData_mean_SpaceGroupNumber
e_electronic,45,MagpieData_mode_CovalentRadius
e_electronic,46,CrystalNNF_7
e_electronic,47,OFM__s_1___d_10
e_electronic,48,CrystalNNF_20
e_electronic,49,OFM__s_2___p_3
e_electronic,50,MagpieData_maximum_MeltingT
e_electronic,51,CrystalNNF_15
e_electronic,52,Avg_Bond
e_electronic,53,frac_s_valence_electrons
e_electronic,54,maximum_neighbor_distance_variation
e_electronic,55,MagpieData_avg_dev_GSbandgap
e_electronic,56,OFM__p_6___p_4
e_electronic,57,MagpieData_minimum_CovalentRadius
e_electronic,58,MagpieData_avg_dev_NValence
e_electronic,59,rdf__13_40000___13_50000_A
e_electronic,60,rdf__4_10000___4_20000_A
e_electronic,61,rdf__7_20000___7_30000_A
e_electronic,62,CrystalNNF_14
e_electronic,63,OFM__p_5___d_10
e_electronic,64,mean_ordering_parameter_shell_1
e_electronic,65,MagpieData_avg_dev_Column
e_ionic,1,MagpieData_avg_dev_CovalentRadius
e_ionic,2,MagpieData_mean_MeltingT
e_ionic,3,MagpieData_minimum_GSvolume_pa
e_ionic,4,mean_ordering_parameter_shell_1
